Language,Family
Buru (Indonesia),Austronesian
Buruwai,Trans-New Guinea
Busam,Niger-Congo
Busami,Austronesian
Busang Kayan,Austronesian
Butmas-Tur,Austronesian
Buwal,Afroasiatic
Byangsi,Sino-Tibetan
Cabiyarí,Arawakan
Cacua,Nadahup
Caddo,Caddoan
Calabrian Greek,Indo-European
Caluyanun,Austronesian
Candoshi-Shapra,isolate
Canichana,isolate
Cara,Niger-Congo
Cariay,Arawakan
Cashibo-Cacataibo,Pano-Tacanan
Cashinahua,Pano-Tacanan
Catío Chibcha,Macro-Chibchan
Cayubaba,isolate
Cañari,unclassified
Central Asmat,Trans-New Guinea
Central Mahuatlán Zapoteco,Oto-Manguean
Central Masela,Austronesian
Central Sama,Austronesian
Central Subanen,Austronesian
Central Tunebo,Macro-Chibchan
Chadong,Kra-Dai
Chaha,Afroasiatic
Chaima,Cariban
Chali,Sino-Tibetan
Chambri,Lower Sepik
Chang,Sino-Tibetan
Chaudangsi,Sino-Tibetan
Chaura,Austroasiatic
Chichimeca-Jonaz,Oto-Manguean
Chimalapa Zoque,Mixe-Zoquean
Chimila,Macro-Chibchan
Chinali,Indo-European
Chinook,Chinookan
Chono,unclassified
Chopi,Niger-Congo
Chuka,Niger-Congo
Chácobo,Pano-Tacanan
Cibak,Afroasiatic
Cicipu,Niger-Congo
Ciguayo,unclassified
Cinta Larga,Tupian
Classical Newar,Sino-Tibetan
Coatecas Altas Zapotec,Oto-Manguean
Coatlán Zapotec,Oto-Manguean
Coatzospan Mixtec,Oto-Manguean
Cocos Islands Malay,creole or pidgin
Cotabato Manobo,Austronesian
Cross River Mbembe,Niger-Congo
Cruzeño,Chumashan
Cua,Austroasiatic
Cubeo,Tucanoan
Cuitlatec,isolate
Culina,Arauan
Cumanagoto,Chapacuran
Cun,Kra-Dai
Cung,Niger-Congo
Da'a Kaili,Austronesian
Daai Chin,Sino-Tibetan
Daga,Trans-New Guinea
Dahalik,Afroasiatic
Dai,Austronesian
Dakaka,Austronesian
Dakpa,Sino-Tibetan
Dangaléat,Afroasiatic
Dano,Trans-New Guinea
Darmiya,Sino-Tibetan
Daro-Matu Melanau,Austronesian
Dass,Afroasiatic
Dawera-Daweloor,Austronesian
Dawro,Afroasiatic
Day,Niger-Congo
Dazaga,Nilo-Saharan
Defaka,Niger-Congo
Deg,Niger-Congo
Degenan,Trans-New Guinea
Delta Yokuts,Yok-Utian
Demisa,East Geelvink Bay
Demta,West Papuan
Dhalandji,Pama-Nyungan
Dhimal,Sino-Tibetan
Dia,Torricelli
Dibo,Niger-Congo
Dilling,Nilo-Saharan
Dinapigue Agta,Austronesian
Dineor,Tor-Kwerba
Diuxi-Tilantongo Mixtec,Oto-Manguean
Dixon Reef,Austronesian
Dizin,Afroasiatic
Dobel,Austronesian
Doe,Niger-Congo
Doga,Austronesian
Dogul Dom,Niger-Congo
Dompo,Niger-Congo
Dongshanba Lalo,Sino-Tibetan
Dorasque,Macro-Chibchan
Doura,Austronesian
Dubu,Pauwasi
Duhwa,Afroasiatic
Duit,Macro-Chibchan
Duma,Niger-Congo
Dumpas,Austronesian
Duna,Papuan
Duri,Austronesian
Duriankere,Trans-New Guinea
Dzala,Sino-Tibetan
Dzao Min,Hmong-Mien
Dzuun,Niger-Congo
E'ma Buyang,Kra-Dai
East Damar,Austronesian
East Masela,Austronesian
Eastern Acipa,Niger-Congo
Eastern Keres,Keresan
Eastern Ngad'a,Austronesian
Eastern Penan,Austronesian
Ebrié,Niger-Congo
Efutop,Niger-Congo
Eggon,Niger-Congo
Eipomek,Trans-New Guinea
Ekajuk,Niger-Congo
Ekari,Trans-New Guinea
Ekpeye,Niger-Congo
Eleme,Niger-Congo
Elotepec Zapotec,Oto-Manguean
Eloyi,Niger-Congo
Emae,Austronesian
Eman,Niger-Congo
Emberá-Catío,Chocoan
Emberá-Chamí,Chocoan
Emberá-Tadó,Chocoan
Embu,Niger-Congo
En,Kra-Dai
Ende,Austronesian
Engenni,Niger-Congo
Enlhet,Mascoian
Enxet,Mascoian
Eotile,Niger-Congo
Epena,Chocoan
Esselen,isolate
Etebi,Niger-Congo
Eten,Niger-Congo
Eteocretan,unclassified
Evant,Niger-Congo
Eyak,Dene-Yeniseian
Fagani,Austronesian
Fanamaket,Austronesian
Fang (Beboid),Niger-Congo
Fas,Papuan
Fayu,Lakes Plain
Fe'fe',Niger-Congo
Fembe,Trans-New Guinea
Fipa,Niger-Congo
Flinders Island,Pama-Nyungan
Fogaha,Afroasiatic
Fore,Trans-New Guinea
Fungwa,Niger-Congo
Fwâi,Austronesian
Fyer,Afroasiatic
Ga'dang,Austronesian
Gaam,Nilo-Saharan
Gaddang,Austronesian
Gal,Trans-New Guinea
Galela,West Papuan
Galice,Dene-Yeniseian
Galoli,Austronesian
Gamela,unclassified
Gana,Austronesian
Ganglau,Trans-New Guinea
Gapapaiwa,Austronesian
Garus,Trans-New Guinea
Gashowu,Yok-Utian
Gavar,Afroasiatic
Gawwada,Afroasiatic
Gayil,Afroasiatic
Gayón,Jirajaran
Gban,Niger-Congo
Gbanu,Niger-Congo
Gbanziri,Niger-Congo
Gbaya-Bossangoa,Niger-Congo
Gbaya-Bozoum,Niger-Congo
Gbayi,Niger-Congo
Gbiri-Niragu,Niger-Congo
Gciriku,Niger-Congo
Geji,Afroasiatic
Gele',Austronesian
Gen,Niger-Congo
Gende,Trans-New Guinea
Gerka,Afroasiatic
Ghadames,Afroasiatic
Ghomala',Niger-Congo
Gimi (Goroka),Papuan
Gitua,Austronesian
Gitxsan,Tsimshianic
Gokhy,Sino-Tibetan
Gola,Niger-Congo
Gor,Nilo-Saharan
Green Hmong,Hmong-Mien
Gresi,Nimboran
Guahibo,Guahiban
Guajá,Tupian
Guambiano,Barbacoan
Guayabero,Guahiban
Gude,Afroasiatic
Guevea de Humboldt Zapotec,Oto-Manguean
Gugu Badhun,Pama-Nyungan
Guinau,Arawakan
Guiqiong,Sino-Tibetan
Gulay,Nilo-Saharan
Gumalu,Trans-New Guinea
Gumawana,Austronesian
Gun,Niger-Congo
Gunu,Niger-Congo
Gunya,Pama-Nyungan
Gupa-Abawa,Niger-Congo
Gupapuyngu,Pama-Nyungan
Guro,Niger-Congo
Guruntum,Afroasiatic
Guyanese Creole English,creole or pidgin
Guébie,Niger-Congo
Gvoko,Afroasiatic
Gwahatike,Trans-New Guinea
Gwara,Niger-Congo
Gweda,Austronesian
Gwere,Niger-Congo
Hadiyya,Afroasiatic
Haeke,Austronesian
Hahon,Austronesian
Hainyaxo Bozo,Niger-Congo
Halbi,Indo-European
Hamer-Banna,Afroasiatic
Haroi,Austronesian
Hasha,Niger-Congo
Hatam,West Papuan
Hattic,isolate
Haush,Chonan
Haveke,Austronesian
Haya,Niger-Congo
Hehe,Niger-Congo
Heiltsuk,Wakashan
Helong,Austronesian
Herdé,Afroasiatic
Heyo,Torricelli
Highland Oaxaca Chontal,Hokan
Hitchiti,Muskogean
Hlepho Phowa,Sino-Tibetan
Holikachuk,Dene-Yeniseian
Horom,Niger-Congo
Hrangkhol,Sino-Tibetan
Hre,Austroasiatic
Hruso,Sino-Tibetan
Hu,Austroasiatic
Huambisa,Jivaroan
Huba,Afroasiatic
Hula,Austronesian
Hyam,Niger-Congo
Iaai,Austronesian
Ibani,Niger-Congo
Idi,Papuan
Idu,Sino-Tibetan
Iduna,Austronesian
Ifè,Niger-Congo
Ikizu,Niger-Congo
Iko,Niger-Congo
Ikobi-Mena,Trans-New Guinea
Ikulu,Niger-Congo
Ila,Niger-Congo
Ilgar,Iwaidjan
Ilianen Manobo,Austronesian
Indian Sign Language,sign language
Indus Kohistani,Indo-European
Ipai,Yuman-Cochimí
Ipiko,Trans-New Guinea
Ipulo,Niger-Congo
Iquito,Zaparoan
Irish Sign Language,sign language
Irula,Dravidian
Isabi,Trans-New Guinea
Isebe,Trans-New Guinea
Ishkashimi,Indo-European
Itik,Tor-Kwerba
Itonama,isolate
Iwal,Austronesian
Ixcatec,Oto-Manguean
Iyive,Niger-Congo
Jabem,Austronesian
Jamsay,Niger-Congo
Janday,Pama-Nyungan
Japanese Sign Language,Japanese Sign Languages
Jaru,Pama-Nyungan
Jawe,Austronesian
Jeh,Austroasiatic
Jeikó,Macro-Jê
Jenaama Bozo,Niger-Congo
Jeri Kuo,Niger-Congo
Jerung,Sino-Tibetan
Jibu,Niger-Congo
Jili,Niger-Congo
Jilim,Trans-New Guinea
Jirajara,Jirajaran
Jita,Niger-Congo
Jowulu,Niger-Congo
Juang,Austroasiatic
Jur Modo,Nilo-Saharan
Jurúna,Tupian
Kabishiana,Tupian
Kaera,Trans-New Guinea
Kagoro,Niger-Congo
Kahua,Austronesian
Kaiy,Lakes Plain
Kakabe,Niger-Congo
Kaki Ae,Austronesian
Kalabari,Niger-Congo
Kalagan,Austronesian
Kalanga,Niger-Congo
Kalapuya,Kalapuyan
Kaluli,Trans-New Guinea
Kamang,Trans-New Guinea
Kamarian,Austronesian
Kambaata,Afroasiatic
Kami,Niger-Congo
Kamwe,Afroasiatic
Kandas,Austronesian
Kaningdon-Nindem,Niger-Congo
Kanju,Pama-Nyungan
Kanowit,Austronesian
Kapauri,Tor-Kwerba
Kapin,Austronesian
Karaga Mandaya,Austronesian
Karankawa,unclassified
Karbi,Sino-Tibetan
Kare (New Guinea),Trans-New Guinea
Karekare,Afroasiatic
Kariri,Macro-Jê
Karkar-Yuri,Pauwasi
Katembri,unclassified
Katukina,Pano-Tacanan
Kaure,Papuan
Kauwera,Tor-Kwerba
Kawacha,Trans-New Guinea
Kaxararí,Pano-Tacanan
Kayabí,Tupian
Kayagar,Trans-New Guinea
Kayan River Kayan,Austronesian
Kayeli,Austronesian
Kayupulau,Austronesian
Keliko,Nilo-Saharan
Kelon,Trans-New Guinea
Kemak,Austronesian
Kemezung,Niger-Congo
Kemi Sami,Uralic
Kemtuik,Nimboran
Kenga,Nilo-Saharan
Keningau Murut,Austronesian
Keoru-Ahia,Trans-New Guinea
Kera,Afroasiatic
Kereho,Austronesian
Kerewo,Kiwaian
Khana,Niger-Congo
Kharia,Austroasiatic
Khengkha,Sino-Tibetan
Khonso,Afroasiatic
Khwarezmian,Indo-European
Kibena,Niger-Congo
Kibiri,Papuan
Kikami,Niger-Congo
Kinalakna,Trans-New Guinea
Kiowa,Kiowa-Tanoan
Kir-Balar,Afroasiatic
Kirfi,Afroasiatic
Kirya-Konzel,Afroasiatic
Kisar,Austronesian
Kitanemuk,Uto-Aztecan
Kitsai,Caddoan
Klao,Niger-Congo
Klias River Kadazan,Austronesian
Koalib,Niger-Congo
Kobol,Trans-New Guinea
Kodi,unclassified
Kofyar,Afroasiatic
Koho,Austroasiatic
Kolbila,Niger-Congo
Koluwawa,Austronesian
Komba,Trans-New Guinea
Komyandaret,Trans-New Guinea
Konabéré,Niger-Congo
Konda,Trans-New Guinea
Konkomba,Niger-Congo
Konomala,Austronesian
Konomihu,Hokan
Koorete,Afroasiatic
Koreguaje,Tucanoan
Korku,Austroasiatic
Koro (India),Sino-Tibetan
Koronadal Blaan,Austronesian
Koroni,Austronesian
Korowai,Trans-New Guinea
Korwa,Austroasiatic
Kovai,Trans-New Guinea
Kowaki,Trans-New Guinea
Koyo,Niger-Congo
Kpan,Niger-Congo
Kpasam,Niger-Congo
Kpee,Niger-Congo
Kpelle,Niger-Congo
Krobu,Niger-Congo
Krongo,Kadu
Kryts,North Caucasian
Kugbo,Niger-Congo
Kugu-Muminh,Pama-Nyungan
Kuku-Uwanh,Pama-Nyungan
Kulere,Afroasiatic
Kulisusu,Austronesian
Kumaoni,Indo-European
Kumukio,Trans-New Guinea
Kumzari,Indo-European
Kunama,unclassified
Kupa,Niger-Congo
Kuranko,Niger-Congo
Kuri,Austronesian
Kuria,Niger-Congo
Kuuk Thaayorre,Pama-Nyungan
Kuy,Austroasiatic
Kwadi,Khoe-Kwadi
Kwang,Afroasiatic
Kwanja,Niger-Congo
Kwanka,Niger-Congo
Kwaya,Niger-Congo
Kyenga,Niger-Congo
Kâte,Trans-New Guinea
Laal,unclassified
Labu,Austronesian
Labuk-Kinabatangan Kadazan,Austronesian
Lachixío Zapotec,Oto-Manguean
Lafofa,Niger-Congo
Lagwan,Afroasiatic
Laha (Vietnam),Kra-Dai
Lakalei,Austronesian
Lamang,Afroasiatic
Lamet,Austroasiatic
Langnian Buyang,Kra-Dai
Lango (Uganda),Nilo-Saharan
Lapaguía-Guivini Zapotec,Oto-Manguean
Lardil,Tangkic
Laru,Niger-Congo
Latundê,Nambikwaran
Lauje,Austronesian
Lavatbura-Lamusong,Austronesian
Laven,Austroasiatic
Leipon,Austronesian
Lele (Chad),Afroasiatic
Lemio,Trans-New Guinea
Lemnian,Tyrsenian
Ligbi,Niger-Congo
Likum,Austronesian
Linngithigh,Pama-Nyungan
Lipan,Dene-Yeniseian
Lishanid Noshan,Afroasiatic
Lishán Didán,Afroasiatic
Lo-Toga,Austronesian
Logba,Niger-Congo
Logo,Nilo-Saharan
Logooli,Niger-Congo
Loko,Niger-Congo
Loloda,West Papuan
Long Wat,Austronesian
Longgu,Austronesian
Longuda,Niger-Congo
Lonwolwol,Austronesian
Looma,Niger-Congo
Lotuko,Nilo-Saharan
Lower Grand Valley Dani,Trans-New Guinea
Lower Nossob,Tuu
Loxicha Zapotec,Oto-Manguean
Luba-Katanga,Niger-Congo
Lugbara,Nilo-Saharan
Luguru,Niger-Congo
Luhu,Austronesian
Lumbu,Niger-Congo
Lumun,Niger-Congo
Luri (Nigeria),Afroasiatic
Luwo,Nilo-Saharan
Ma Manda,Trans-New Guinea
Ma'ya,Austronesian
Mabaan,Nilo-Saharan
Macaguán,Guahiban
Machame,Niger-Congo
Macoris,unclassified
Macuna,Tucanoan
Madak,Austronesian
Magori,Austronesian
Mailu,Trans-New Guinea
Mairasi,Mairasi
Majang,Nilo-Saharan
Mak (China),Kra-Dai
Makah,Wakashan
Makolkol,Baining
Makonde,Niger-Congo
Maku'a,Austronesian
Mala (New Guinea),Trans-New Guinea
Malaccan Creole Malay,creole or pidgin
Malalamai,Austronesian
Malango,Austronesian
Malaynon,Austronesian
Male,Trans-New Guinea
Malibu,unclassified
Malila,Niger-Congo
Mam,Mayan
Mamaindé,Nambikwaran
Manambu,Sepik
Manao,Arawakan
Manda (Australia),Daly
Manda (India),Dravidian
Mandahuaca,Arawakan
Mandailing Batak,Austronesian
Mandara,Austronesian
Mandeali,Indo-European
Mangas,Afroasiatic
Manikion,West Papuan
Manipa,Austronesian
Mankanya,Niger-Congo
Mano,Niger-Congo
Manza,Niger-Congo
Maonan,Kra-Dai
Mapidian,Arawakan
Mapos Buang,Austronesian
Mapoyo,Cariban
Maratino,unclassified
Marawan,Arawakan
Marba,Afroasiatic
Margany,Pama-Nyungan
Maridjabin,Daly
Marik,Austronesian
Marimanindji,Daly
Maringarr,Daly
Marriammu,Daly
Masalit,Nilo-Saharan
Maskelynes,Austronesian
Matagalpa,Macro-Chibchan
Matanawi,unclassified
Matbat,Austronesian
Matengo,Niger-Congo
Matepi,Trans-New Guinea
Matukar,Austronesian
Matumbi,Niger-Congo
Maung,Iwaidjan
Mawak,Trans-New Guinea
Mawan,Trans-New Guinea
Mawayana,Arawakan
Mawes,Papuan
Mayangna,Macro-Chibchan
Maykulan,Pama-Nyungan
Maynas,unclassified
Maypure,Arawakan
Mazatlán Mazatec,Oto-Manguean
Mbandja,Niger-Congo
Mbesa,Niger-Congo
Mbiywom,Pama-Nyungan
Mbre,Niger-Congo
Mbu',Niger-Congo
Mbudum,Afroasiatic
Mbunda,Niger-Congo
Mbuun,Niger-Congo
Medebur,Austronesian
Media Lengua,creole or pidgin
Mefele,Afroasiatic
Mehináku,Arawakan
Mekeo,Austronesian
Mekwei,Nimboran
Melo,Afroasiatic
Memoni,Indo-European
Mengen,Austronesian
Menien,Macro-Jê
Menka,Niger-Congo
Meramera,Austronesian
Merey,Afroasiatic
Mesaka,Niger-Congo
Meyah,West Papuan
Mfinu,Niger-Congo
Middle Cornish,Indo-European
Middle Watut,Austronesian
Migaama,Afroasiatic
Miju,Sino-Tibetan
Milang,unclassified
Mimi of Decorse,unclassified
Mimi of Nachtigal,unclassified
Minanibai,Trans-New Guinea
Minaveha,Austronesian
Minderico,Indo-European
Minica Huitoto,Huitoto-Ocaina
Minidien,Torricelli
Minigir,Austronesian
Miship,Afroasiatic
Mising,Sino-Tibetan
Mixtepec Zapotec,Oto-Manguean
Miya,Afroasiatic
Mlap,Nimboran
Mocana,unclassified
Mocho,Mayan
Modang,Austronesian
Modole,West Papuan
Mofu-Gudur,Afroasiatic
Molbog,Austronesian
Molima,Austronesian
Molmo One,Torricelli
Molo,Nilo-Saharan
Mongo,Niger-Congo
Montol,Afroasiatic
Monumbo,Torricelli
Mor (Austronesian),Austronesian
Moran,Sino-Tibetan
Morigi,Kiwaian
Morom,Nilo-Saharan
Mortlockese,Austronesian
Moru,Nilo-Saharan
Mosimo,Trans-New Guinea
Mota,Austronesian
Mouk-Aria,Austronesian
Mpade,Afroasiatic
Mpotovoro,Austronesian
Mpuono,Niger-Congo
Mpur,West Papuan
Mru,Sino-Tibetan
Mualang,Austronesian
Mubi,Afroasiatic
Mucuchí,unclassified
Muellama,Barbacoan
Mum,Trans-New Guinea
Mundabli,Niger-Congo
Mundani,Niger-Congo
Mundat,Afroasiatic
Mungaka,Niger-Congo
Mungbam,Niger-Congo
Mungkip,Trans-New Guinea
Mur Pano,Austronesian
Murik (New Guinea),Lower Sepik
Murupi,Trans-New Guinea
Musar,Trans-New Guinea
Musi,Austronesian
Musom,Austronesian
Mwaghavul,Afroasiatic
Na,Sino-Tibetan
Naba,Nilo-Saharan
Nabak,Trans-New Guinea
Nadëb,Nadahup
Nafi,Austronesian
Nage,Austronesian
Nagtipunan Agta,Austronesian
Nake,Trans-New Guinea
Naki,Niger-Congo
Namakura,Austronesian
Nambya,Niger-Congo
Nande,Niger-Congo
Nar Phu,Sino-Tibetan
Naro,Khoe-Kwadi
Narom,Austronesian
Narua,Sino-Tibetan
Naskapi,Algic
Natú,unclassified
Nauete,Austronesian
Naukanski,Eskimo-Aleut
Nayi,Afroasiatic
Ndali,Niger-Congo
Ndemli,Niger-Congo
Ndjébbana,Arnhem
Ndo,Nilo-Saharan
Ndom,Trans-New Guinea
Nedebang,Trans-New Guinea
Nefusa,Afroasiatic
Negeri Sembilan Malay,Austronesian
Nek,Trans-New Guinea
Nemi,Austronesian
Ngalakan,Arnhem
Ngalum,Trans-New Guinea
Ngamambo,Niger-Congo
Ngamo,Afroasiatic
Ngandi,Arnhem
Ngarinyin,Worrorran
Ngarluma,Pama-Nyungan
Ngbaka,Niger-Congo
Ngbaka Ma'bo,Niger-Congo
Ngbaka Manza,Niger-Congo
Ngizim,Afroasiatic
Ngkoth,Pama-Nyungan
Ngochang,Sino-Tibetan
Ngomba,Niger-Congo
Ngombe (Congo),Niger-Congo
Ngoshie,Niger-Congo
Nicola,Dene-Yeniseian
Nilamba,Niger-Congo
Nimboran,Nimboran
Ninggerum,Trans-New Guinea
Ninzo,Niger-Congo
Nisga'a,Tsimshianic
Niwer Mil,Austronesian
Njen,Niger-Congo
Nkari,Niger-Congo
Nkonya,Niger-Congo
Nkoroo,Niger-Congo
Nobonob,Papuan
Nomlaki,Wintuan
Nonuya,Huitoto-Ocaina
Nopala Chatino,Oto-Manguean
Noric,Indo-European
North Ambrym,Austronesian
North Efate,Austronesian
North Giziga,Afroasiatic
North Tairora,Trans-New Guinea
North Watut,Austronesian
Northeast Pashayi,Indo-European
Northern Alta,Austronesian
Northern Pumi,Sino-Tibetan
Northwest Gbaya,Niger-Congo
Notsi,Austronesian
Nsari,Niger-Congo
Ntcham,Niger-Congo
Nuk,Trans-New Guinea
Nukak Makú,Nadahup
Numana,Niger-Congo
Numanggang,Trans-New Guinea
Nung,Kra-Dai
Nunggubuyu,Arnhem
Nusu,Sino-Tibetan
Nutabe,Macro-Chibchan
Nyamwanga,Niger-Congo
Nyangbo,Niger-Congo
Nyaturu,Niger-Congo
Nyaw,Kra-Dai
Nyiha,Niger-Congo
Nyimang,Nilo-Saharan
Nyindrou,Austronesian
Nyoro,Niger-Congo
Nyulnyul,Nyulnyulan
Nzanyi,Afroasiatic
Nüpode Huitoto,Huitoto-Ocaina
Nǀuu,Tuu
Obispeño,Chumashan
Obolo,Niger-Congo
Ocotlán Zapotec,Oto-Manguean
Odual,Niger-Congo
Ogbah,Niger-Congo
Ogbia,Niger-Congo
Ogea,Trans-New Guinea
Oirata,Trans-New Guinea
Okobo,Niger-Congo
Okodia,Niger-Congo
Okolod,Austronesian
Oksapmin,Trans-New Guinea
Okwanuchu,Hokan
Omagua,Tupian
Omba,Austronesian
Omi,Nilo-Saharan
Onin,Austronesian
Opao,Trans-New Guinea
Opón,Cariban
Oroha,Austronesian
Orokolo,Trans-New Guinea
Oruma,Niger-Congo
Orya,Tor-Kwerba
Osatu,Niger-Congo
Ot Danum,Austronesian
Ottawa,Algic
Oyda,Afroasiatic
Ozolotepec Zapotec,Oto-Manguean
Pa,Trans-New Guinea
Pa'a,Afroasiatic
Paelignian,Indo-European
Pagu,West Papuan
Pahanan Agta,Austronesian
Pai-lang,Sino-Tibetan
Paicî,Austronesian
Paikoneka,Arawakan
Pajapan Nahuatl,Uto-Aztecan
Pakanha,Pama-Nyungan
Pal,Trans-New Guinea
Palewyami,Yok-Utian
Palor,Niger-Congo
Palta,unclassified
Pamigua,Otomacoan
Pamlico,Algic
Pana (Central Africa),Niger-Congo
Panamint,Uto-Aztecan
Pande,Niger-Congo
Pangseng,Niger-Congo
Pangwa,Niger-Congo
Pankararú,unclassified
Papar,Austronesian
Parawen,Trans-New Guinea
Patagón,unclassified
Pattani,Sino-Tibetan
Patwin,Wintuan
Paunaca,Arawakan
Pawaia,Papuan
Payaguá,Mataco-Guaicuru
Peere,Niger-Congo
Pendau,Austronesian
Perema,Niger-Congo
Phola,Sino-Tibetan
Phom,Sino-Tibetan
Phuza,Sino-Tibetan
Piamatsina,Austronesian
Piapoco,Arawakan
Pichinglis,creole or pidgin
Picuris,Kiowa-Tanoan
Pije,Austronesian
Pimbwe,Niger-Congo
Pingelapese,Austronesian
Pintiini,Pama-Nyungan
Pinyin,Niger-Congo
Pitta-Pitta,Pama-Nyungan
Plains Apache,Dene-Yeniseian
Pom,Austronesian
Ponosakan,Austronesian
Pouye,Sepik
Proto-Atlantic-Congo,Niger-Congo
Proto-Bungku-Tolaki,Austronesian
Proto-Central Chadic,Afroasiatic
Proto-Hurro-Urartian,Hurro-Urartian
Proto-Loloish,Sino-Tibetan
Proto-Numic,Uto-Aztecan
Proto-Pomo,Hokan
Proto-Rukai,Austronesian
Proto-Saka,Indo-European
Proto-Sara,Nilo-Saharan
Proto-Siouan-Catawban,Siouan-Catawban
Proto-Southwestern Tai,Kra-Dai
Proto-Takic,Uto-Aztecan
Puinave,unclassified
Pulabu,Trans-New Guinea
Pumé,unclassified
Punan Tubu,Austronesian
Punu,Niger-Congo
Puragi,Trans-New Guinea
Purari,Papuan
Purukotó,Cariban
Pwaamei,Austronesian
Q'eqchi,Mayan
Qabiao,Kra-Dai
Qaqet,Baining
Queyu,Sino-Tibetan
Quimbaya,unclassified
Quioquitani-Quierí Zapotec,Oto-Manguean
Rahambuu,Austronesian
Rakahanga-Manihiki,Austronesian
Ralte,Sino-Tibetan
Rang,Niger-Congo
Rapting,Trans-New Guinea
Rara Bakati',Austronesian
Raute,Sino-Tibetan
Rejang Kayan,Austronesian
Rempi,Trans-New Guinea
Rerau,Trans-New Guinea
Rerep,Austronesian
Reshe,Niger-Congo
Resígaro,Arawakan
Retta,Trans-New Guinea
Riantana,Trans-New Guinea
Ritarungo,Pama-Nyungan
Rombo,Niger-Congo
Ron,Afroasiatic
Ronji,Austronesian
Roon,Austronesian
Roviana,Austronesian
Rumai Palaung,Austroasiatic
Rumu,Trans-New Guinea
Rungwa,Niger-Congo
Russenorsk,creole or pidgin
Rwa,Niger-Congo
Saafi-Saafi,Niger-Congo
Saamia,Niger-Congo
Sacapulteco,Mayan
Saep,Trans-New Guinea
Safwa,Niger-Congo
Sahu,West Papuan
Saliba (New Guinea),Austronesian
Samarokena,Tor-Kwerba
Sambe,Niger-Congo
Samosa,Trans-New Guinea
Samtao,Austroasiatic
San Agustín Mixtepec Zapotec,Oto-Manguean
San Baltazar Loxicha Zapotec,Oto-Manguean
San Marcos Tlalcoyalco Popoloca,Oto-Manguean
San Pedro Quiatoni Zapotec,Oto-Manguean
San Vicente Coatlán Zapotec,Oto-Manguean
Sanapaná,Mascoian
Sandawe,isolate
Sani,Sino-Tibetan
Santa Catarina Albarradas Zapotec,Oto-Manguean
Santa Inés Yatzechi Zapotec,Oto-Manguean
Santa María Quiegolani Zapotec,Oto-Manguean
Santa María Zacatepec Mixtec,Oto-Manguean
Santiago Xanica Zapotec,Oto-Manguean
Santo Domingo Albarradas Zapotec,Oto-Manguean
Sanumá,Yanomami
Saponi,Papuan
Saposa,Austronesian
Sar,Nilo-Saharan
Sara,Austronesian
Sarangani Blaan,Austronesian
Sarangani Manobo,Austronesian
Sarasira,Austronesian
Saraveca,Arawakan
Saruga,Trans-New Guinea
Sausi,Trans-New Guinea
Sawriya Paharia,Dravidian
Saya,Afroasiatic
Sebat Bet Gurage,Afroasiatic
Sebop,Austronesian
Secoya,Tucanoan
Sedoa,Austronesian
Seenku,Niger-Congo
Seim,Sepik
Sekar,Austronesian
Selepet,Trans-New Guinea
Selungai Murut,Austronesian
Sema,Sino-Tibetan
Sena,Niger-Congo
Senggi,Border
Sentani,West Papuan
Sepik Iwam,Sepik
Serili,Austronesian
Serrano,Uto-Aztecan
Seru,Austronesian
Seti,Torricelli
Sha,Afroasiatic
Shama-Sambuga,Niger-Congo
Shanga,Niger-Congo
She,Hmong-Mien
Sheko,Afroasiatic
Sherbro,Niger-Congo
Sherdukpen,Sino-Tibetan
Shinasha,Afroasiatic
Shipibo-Conibo,Pano-Tacanan
Sialum,Trans-New Guinea
Siane,Trans-New Guinea
Siar-Lak,Austronesian
Sicel,Indo-European
Sierra de Juárez Zapotec,Oto-Manguean
Sihan,Trans-New Guinea
Sileibi,Trans-New Guinea
Silimo,Trans-New Guinea
Siliput,Torricelli
Silopi,Trans-New Guinea
Silt'e,Afroasiatic
Sinagen,Torricelli
Siona,Tucanoan
Sira,Niger-Congo
Sirenik,Eskimo-Aleut
Sirionó,Tupian
Siuslaw,unclassified
Siwi,Afroasiatic
Slavey,Dene-Yeniseian
So'a,Austronesian
Sochiapam Chinantec,Oto-Manguean
Sokna,Afroasiatic
Sokoro,Afroasiatic
Solong,Austronesian
Solos,Austronesian
Sop,Trans-New Guinea
South Efate,Austronesian
South Giziga,Afroasiatic
South Muyu,Trans-New Guinea
South Tairora,Trans-New Guinea
South Watut,Austronesian
Southeast Ambrym,Austronesian
Southern Alta,Austronesian
Southern Bobo,Niger-Congo
Southern Carrier,Dene-Yeniseian
Southern Dagaare,Niger-Congo
Southern Hindko,Indo-European
Southern Ma'di,Nilo-Saharan
Southern Qiang,Sino-Tibetan
Southern Rincon Zapotec,Oto-Manguean
Southern Tidong,Austronesian
Southern Tiwa,Kiowa-Tanoan
Southwest Gbaya,Niger-Congo
Southwest Palawano,Austronesian
Subtiaba,Oto-Manguean
Sudest,Austronesian
Suena,Trans-New Guinea
Suki,Trans-New Guinea
Sukur,Afroasiatic
Sulka,isolate
Sulung,Sino-Tibetan
Sumau,Trans-New Guinea
Supyire,Niger-Congo
Sur,Niger-Congo
Suri,Nilo-Saharan
Tabancale,unclassified
Tabasco Zoque,Mixe-Zoquean
Tabla,West Papuan
Tabriak,Lower Sepik
Tadaksahak,Nilo-Saharan
Tagbanwa,Austronesian
